ii LuaJIT-2.1.0beta3_1                       Just-In-Time Compiler for Lua
ii NetworkManager-1.22.10_2                  Network Management daemon
ii acl-2.2.53_1                              Access Control List filesystem support
ii acpid-2.0.32_1                            The ACPI Daemon (acpid) With Netlink Support
ii attr-2.4.48_1                             Extended attribute support library for ACL support
ii base-files-0.141_5                        Void Linux base system files
ii base-system-0.114_1                       Void Linux base system meta package
ii bash-5.1.004_1                            GNU Bourne Again Shell
ii binutils-2.35.1_3                         GNU binary utilities
ii binutils-doc-2.35.1_3                     GNU binary utilities - info files
ii bluez-5.55_1                              Bluetooth tools and daemons
ii btrfs-progs-5.9_1                         Btrfs filesystem utilities
ii bzip2-1.0.8_1                             Freely available, patent free, high-quality data compressor
ii c-ares-1.17.1_1                           C library that performs DNS requests and name resolves asynchronously
ii ca-certificates-20200601_2                Common CA certificates for SSL/TLS
ii coreutils-8.32_4                          GNU core utilities
ii cpio-2.13_1                               GNU copy-in/out (cpio) with remote magnetic tape (rmt) support
ii curl-7.74.0_1                             Client that groks URLs
ii dash-0.5.11.2_1                           POSIX-compliant Unix shell, much smaller than GNU bash
ii dbus-1.12.20_1                            Message bus system
ii dbus-libs-1.12.20_1                       Message bus system - shared libraries
ii device-mapper-2.02.187_2                  Device Mapper userspace library and tools
ii dhcpcd-9.3.4_2                            RFC2131 compliant DHCP client
ii diffutils-3.7_1                           The GNU diff utilities
ii dnssec-anchors-20181012_2                 DNSSEC trust anchors for the root zone
ii dosfstools-4.1_2                          DOS filesystem tools
ii dracut-050_9                              Low-level tool for generating an initramfs/initrd image
ii e2fsprogs-1.45.6_1                        Ext2/3/4 Filesystem Utilities
ii e2fsprogs-libs-1.45.6_1                   Ext2/3/4 Filesystem Utilities - shared libraries
ii ethtool-5.10_1                            Utility for controlling network drivers and hardware
ii eudev-3.2.9_1                             Gentoo's fork of systemd-udev (enhanced userland device daemon)
ii eudev-libudev-3.2.9_1                     Gentoo's fork of systemd-udev (enhanced userland device daemon) - runtime library
ii expat-2.2.10_1                            XML parser library written in C
ii f2fs-tools-1.14.0_1                       Tools for the Linux Flash-Friendly File System (F2FS)
ii file-5.39_1                               File type identification utility
ii findutils-4.7.0_1                         GNU Find Utilities
ii font-alias-1.0.4_2                        Standard aliases for X11 PCF fonts
ii font-util-1.3.2_1                         Tools for truncating and subseting of ISO10646-1 BDF fonts
ii fontconfig-2.13.1_3                       Library for configuring and customizing font access
ii freetype-2.10.4_2                         Font rendering engine and library API
ii gawk-5.1.0_1                              GNU awk utility
ii gcc-10.2.1pre1_2                          GNU Compiler Collection
ii gdbm-1.18.1_1                             GNU database routines
ii git-2.30.0_1                              Git Tree History Storage Tool
ii glib-2.66.2_1                             GNU library of C routines
ii glibc-2.30_2                              GNU C library
ii glibc-devel-2.30_2                        GNU C library - development files
ii glibc-locales-2.30_2                      GNU C library - locale data files
ii gmp-6.2.1_1                               Library for arbitrary precision arithmetic
ii grep-3.6_1                                GNU grep utility
ii gzip-1.10_1                               GNU compression utility (replacement for compress)
ii hwids-20201207_1                          Hardware Identification Databases
ii iana-etc-20210106_1                       Unix /etc/services and /etc/protocols files
ii icu-libs-67.1_1                           Robust and fully-featured Unicode libraries - shared libs
ii inih-52_1                                 Simple ini file parser library
ii iproute2-5.9.0_2                          IP Routing Utilities
ii iptables-1.8.6_2                          Linux IPv[46] packet filtering ruleset
ii iputils-20190709_3                        Useful utilities for Linux networking (including ping)
ii ipw2100-firmware-1.3_6                    Firmware for the Intel PRO/Wireless 2100 wifi cards
ii ipw2200-firmware-3.1_6                    Firmware for the Intel PRO/Wireless 2200BG wifi cards
ii iw-5.9_1                                  Utility for nl80211 based CLI configuration of wireless devices
ii jansson-2.13.1_1                          Library for encoding, decoding and manipulating JSON data
ii kbd-2.3.0_2                               Linux keyboard utilities
ii kbd-data-2.3.0_2                          Linux keyboard utilities - keymaps, console fonts and unicode maps
ii kernel-libc-headers-5.10.4_1              Linux API headers for userland development
ii kmod-27_2                                 Linux kernel module handling
ii kpartx-0.8.5_1                            Create device maps from partition tables
ii less-563_1                                Pager program similar to more(1)
ii libaio-0.3.112_1                          The Linux-native asynchronous I/O facility (aio) library
ii libarchive-3.5.1_1                        Library to read/write several different streaming archive formats
ii libblkid-2.36_1                           Library to handle device identification
ii libcap-2.46_1                             POSIX.1e capabilities suite
ii libcap-ng-0.8.2_1                         Alternate POSIX capabilities library
ii libcap-progs-2.46_1                       POSIX.1e capabilities suite - utilities
ii libcrypto46-3.1.5_2                       Version of the TLS/crypto stack forked from OpenSSL - crypto library
ii libcurl-7.74.0_1                          Multiprotocol file transfer library
ii libdb-5.3.28_8                            Berkeley DB embedded database system - C shared libraries
ii libdebuginfod-0.182_4                     Utilities to handle ELF object files - debuginfod library
ii libedit-20191231.3.1_1                    Port of the NetBSD Command Line Editor Library
ii libelf-0.182_4                            Utilities to handle ELF object files - runtime library
ii libelogind-243.4_3                        Standalone logind fork - elogind library
ii libev-4.33_1                              High-performance event loop loosely modelled after libevent
ii libfdisk-2.36_1                           Library for fdisk(8)
ii libffi-3.3_2                              Library supporting Foreign Function Interfaces
ii libfontenc-1.1.4_1                        Fontenc Library from X.org
ii libgcc-10.2.1pre1_2                       GNU Compiler Collection - GCC library
ii libgcc-devel-10.2.1pre1_2                 GNU Compiler Collection - GCC library - development files
ii libical-3.0.8_3                           Reference implementation of the iCalendar data type and format
ii libkmod-27_2                              Linux kernel module handling - runtime shared library
